HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,Deck,CabinNum,Side,CabinSize,Surname,TotalSpend,NecessitiesSpend,EntertainmentSpend,AllGroupCryo,NoGroupCryo,IsAlone,IsChild
Europa,0.0,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,B,0.0,P,1,Ofracculy,0.0,0.0,0.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,24.0,0.0,109.0,9.0,25.0,549.0,44.0,1,1,F,0.0,S,1,Vines,736.0,118.0,618.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,0,2,A,0.0,S,2,Susent,10383.0,3619.0,6764.0,0,1,0,0
Europa,0.0,TRAPPIST-1e,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,0,2,A,0.0,S,2,Susent,5176.0,1283.0,3893.0,0,1,0,0
Earth,0.0,TRAPPIST-1e,16.0,0.0,303.0,70.0,151.0,565.0,2.0,1,1,F,1.0,S,1,Santantines,1091.0,373.0,718.0,0,1,1,0
Earth,0.0,PSO J318.5-22,44.0,0.0,0.0,483.0,0.0,291.0,0.0,1,1,F,0.0,P,1,Hinetthews,774.0,483.0,291.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,1,2,F,2.0,S,1,Jacostaffey,1584.0,1581.0,3.0,0,0,0,0
Earth,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,G,0.0,S,1,Jacostaffey,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,35.0,0.0,0.0,785.0,17.0,216.0,0.0,1,1,F,3.0,S,1,Beston,1018.0,785.0,233.0,0,1,1,0
Europa,1.0,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,B,1.0,P,3,Flatic,0.0,0.0,0.0,0,0,0,0
Europa,1.0,TRAPPIST-1e,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,B,1.0,P,3,Flatic,0.0,0.0,0.0,0,0,0,0
Europa,0.0,55 Cancri e,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,3,B,1.0,P,3,Flatic,8157.0,7334.0,823.0,0,0,0,0
Mars,0.0,TRAPPIST-1e,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,1,1,F,1.0,P,1,Barne,1309.0,73.0,1236.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,48.0,0.0,719.0,1.0,65.0,0.0,24.0,0,1,G,1.0,S,1,Baketton,809.0,720.0,89.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,28.0,0.0,8.0,974.0,12.0,2.0,7.0,1,1,F,2.0,P,1,Bertsontry,1003.0,982.0,21.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,31.0,0.0,32.0,0.0,876.0,0.0,0.0,0,1,G,755.0,P,1,Pooles,908.0,32.0,876.0,0,1,1,0
Mars,0.0,55 Cancri e,27.0,0.0,1286.0,122.0,0.0,0.0,0.0,0,1,F,3.0,P,1,Eccle,1408.0,1408.0,0.0,0,1,1,0
Earth,0.0,55 Cancri e,24.0,0.0,0.0,1.0,0.0,0.0,637.0,0,1,F,4.0,P,1,Hughriend,638.0,1.0,637.0,0,1,1,0
